kepid,asymmetry_index,v_u_kurtosis,ingress_slope,egress_slope,loc_rowid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
10797460,0.2021382184139636,2.6867345507782088,-0.0055636831497912,0.0007152607022607,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2021382184139636,2.6867345507782088,-0.0055636831497912,0.0007152607022607,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2075068627174967,2.3858170591257406,-5.795846709067742e-05,0.0033256034950781,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2075068627174967,2.3858170591257406,-5.795846709067742e-05,0.0033256034950781,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2075068627174967,2.3858170591257406,-5.795846709067742e-05,0.0033256034950781,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2075068627174967,2.3858170591257406,-5.795846709067742e-05,0.0033256034950781,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2075068627174967,2.3858170591257406,-5.795846709067742e-05,0.0033256034950781,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10797460,0.2075068627174967,2.3858170591257406,-5.795846709067742e-05,0.0033256034950781,1,K00752.01,Kepler-227 b,CONFIRMED,0,0,0,9.48803557,2.775e-05,-2.775e-05,170.53875,0.00216,-0.00216,2455003.539,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,,,,615.8,19.5,-19.5,35.8,5455.0,81.0,-81.0,0.927,0.105,-0.061
10848459,0.8582623064551309,1.6447837903946332,-0.0856320817055569,,4,K00754.01,,FALSE POSITIVE,0,1,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,2455003.308,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,,,,8079.2,12.8,-12.8,505.6,5805.0,157.0,-174.0,0.791,0.201,-0.067
10848459,0.1634443477118434,3.876038394374847,-0.027966982032599,0.0419352940563955,4,K00754.01,,FALSE POSITIVE,0,1,0,1.736952453,2.63e-07,-2.63e-07,170.307565,0.000115,-0.000115,2455003.308,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,,,,8079.2,12.8,-12.8,505.6,5805.0,157.0,-174.0,0.791,0.201,-0.067
