loc_rowid,kepid,kepoi_name,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
1,10797460,K00752.01,2.26,2.600e-01,-1.500e-01,793.0,,,24.810000,2.600000,-2.600000,5455.00,81.00,-81.00,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
2,10797460,K00752.02,2.83,3.200e-01,-1.900e-01,443.0,,,77.900000,28.400000,-28.400000,5455.00,81.00,-81.00,0.9270,0.1050,-0.0610,0.9190,0.0520,-0.0460
3,10811496,K00753.01,14.60,3.920e+00,-1.310e+00,638.0,,,53.500000,25.700000,-25.700000,5853.00,158.00,-176.00,0.8680,0.2330,-0.0780,0.9610,0.1100,-0.1210
4,10848459,K00754.01,33.46,8.500e+00,-2.830e+00,1395.0,,,3.278000,0.136000,-0.136000,5805.00,157.00,-174.00,0.7910,0.2010,-0.0670,0.8360,0.0930,-0.0770
5,10854555,K00755.01,2.75,8.800e-01,-3.500e-01,1406.0,,,8.750000,4.000000,-4.000000,6031.00,169.00,-211.00,1.0460,0.3340,-0.1330,1.0950,0.1510,-0.1360
6,10872983,K00756.01,3.90,1.270e+00,-4.200e-01,835.0,,,16.360000,8.100000,-8.100000,6046.00,189.00,-232.00,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
7,10872983,K00756.02,2.77,9.000e-01,-3.000e-01,1160.0,,,6.960000,2.800000,-2.800000,6046.00,189.00,-232.00,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
8,10872983,K00756.03,1.59,5.200e-01,-1.700e-01,1360.0,,,5.540000,2.700000,-2.700000,6046.00,189.00,-232.00,0.9720,0.3150,-0.1050,1.0530,0.1350,-0.1500
9,6721123,K00114.01,39.21,6.450e+00,-9.670e+00,1342.0,,,2.400000,1.200000,-1.200000,6227.00,111.00,-124.00,1.9580,0.3220,-0.4830,1.3580,0.1210,-0.2070
10,10910878,K00757.01,5.76,2.200e-01,-4.900e-01,600.0,,,36.850000,1.200000,-1.200000,5031.00,75.00,-83.00,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
11,11446443,K00001.01,13.04,5.100e-01,-5.100e-01,1339.0,,,8.397700,0.026900,-0.026900,5820.00,78.00,-78.00,0.9640,0.0380,-0.0380,0.9710,0.0620,-0.0560
12,10666592,K00002.01,16.10,8.100e-01,-9.100e-01,2048.0,,,4.602000,0.345000,-0.345000,6440.00,76.00,-89.00,1.9520,0.0990,-0.1100,1.4490,0.0700,-0.0910
13,6922244,K00010.01,14.59,1.110e+00,-1.110e+00,1521.0,,,7.541000,0.171000,-0.171000,6225.00,112.00,-137.00,1.4510,0.1100,-0.1100,1.1320,0.1080,-0.0780
14,10984090,K00112.02,1.16,1.700e-01,-1.200e-01,1206.0,,,10.888000,0.398000,-0.398000,5833.00,105.00,-117.00,1.0220,0.1430,-0.1070,0.9740,0.0660,-0.0660
15,10419211,K00742.01,150.51,3.976e+01,-1.331e+01,753.0,,,20.750000,9.400000,-9.400000,5795.00,155.00,-172.00,0.8480,0.2240,-0.0750,0.9380,0.0980,-0.1090
16,10464078,K00743.01,7.18,7.600e-01,-6.800e-01,523.0,,,9.099000,0.257000,-0.257000,5043.00,151.00,-151.00,0.6800,0.0720,-0.0650,0.6570,0.0850,-0.0360
17,10480982,K00744.01,49.29,1.603e+01,-5.000e+00,698.0,,,31.323000,0.131000,-0.131000,6117.00,182.00,-200.00,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390
18,10485250,K00745.01,7.94,8.900e-01,-8.900e-01,595.0,,,14.050000,1.500000,-1.500000,5152.00,168.00,-153.00,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570
19,10526549,K00746.01,2.47,2.000e-01,-2.400e-01,649.0,,,20.650000,5.600000,-5.600000,4856.00,131.00,-146.00,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470
20,10583066,K00747.01,2.85,2.600e-01,-1.500e-01,678.0,,,29.310000,4.100000,-4.100000,4537.00,123.00,-123.00,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670
21,10583180,K00748.01,1.58,1.300e-01,-1.600e-01,1066.0,,,5.827000,0.162000,-0.162000,4989.00,149.00,-149.00,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560
22,10601284,K00749.01,2.55,1.600e-01,-2.400e-01,919.0,,,13.801500,0.049600,-0.049600,5185.00,85.00,-77.00,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
23,10601284,K00749.02,1.70,1.100e-01,-1.600e-01,1018.0,,,11.510000,2.400000,-2.400000,5185.00,85.00,-77.00,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
24,10601284,K00749.03,1.30,9.000e-02,-1.200e-01,800.0,,,17.460000,2.700000,-2.700000,5185.00,85.00,-77.00,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
25,2306756,K00113.01,41.50,1.680e+00,-1.680e+00,297.0,,,332.000000,22.200000,-22.200000,5543.00,79.00,-79.00,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970
26,10662202,K00750.01,2.95,1.200e-01,-2.300e-01,530.0,,,24.600000,11.600000,-11.600000,4954.00,79.00,-79.00,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290
27,10682541,K00751.01,2.78,5.200e-01,-2.300e-01,917.0,,,13.140000,5.100000,-5.100000,5339.00,175.00,-159.00,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940
28,11460018,K00769.01,2.30,5.800e-01,-1.900e-01,1012.0,,,10.640000,3.900000,-3.900000,5644.00,152.00,-169.00,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150
29,11463211,K00770.01,4.53,1.010e+00,-4.400e-01,1452.0,,,4.670000,1.800000,-1.800000,5714.00,155.00,-172.00,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100
30,11465813,K00771.01,14.14,2.130e+00,-7.100e-01,196.0,,,85.240000,1.500000,-1.500000,5520.00,100.00,-111.00,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580
31,11493732,K00772.01,39.87,1.279e+01,-5.480e+00,505.0,,,29.100000,14.400000,-14.400000,6144.00,184.00,-220.00,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350
32,11507101,K00773.01,2.82,3.700e-01,-3.400e-01,529.0,,,47.800000,22.500000,-22.500000,5481.00,82.00,-74.00,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420
33,10910878,K00757.02,3.86,1.500e-01,-3.300e-01,439.0,,,70.750000,2.100000,-2.100000,5031.00,75.00,-83.00,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
34,10910878,K00757.03,2.65,1.000e-01,-2.300e-01,823.0,,,18.940000,0.842000,-0.842000,5031.00,75.00,-83.00,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
35,10987985,K00758.01,3.10,3.400e-01,-3.100e-01,593.0,,,24.700000,11.800000,-11.800000,5015.00,164.00,-149.00,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560
36,11018648,K00759.01,3.36,7.600e-01,-3.300e-01,506.0,,,53.950000,1.500000,-1.500000,5586.00,152.00,-152.00,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
37,11018648,K00759.02,2.12,4.800e-01,-2.100e-01,359.0,,,89.400000,37.800000,-37.800000,5586.00,152.00,-152.00,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
