loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_ingress_err1,koi_ingress_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2
5987,6468337,K01620.01,,FALSE POSITIVE,0,1,1,0.959853772,2.78e-06,-2.78e-06,131.85197,0.00249,-0.00249,2454964.852,0.00249,-0.00249,0.646,0.297,-0.429,1.9163,0.0783,-0.0783,,,,55.8,2.4,-2.4,27.1,6061.0,211.0,-211.0,1.653,0.421,-0.631
5989,10357040,K01634.01,,FALSE POSITIVE,0,0,0,46.882525,0.006215,-0.006215,174.9031,0.0311,-0.0311,2455007.903,0.0311,-0.0311,0.7285,0.0526,-0.5268,1.93,1.0,-1.0,,,,343.5,81.3,-81.3,4.9,6045.0,152.0,-191.0,0.955,0.343,-0.089
5990,10514429,K01614.01,,FALSE POSITIVE,0,0,0,20.7191626,0.0001866,-0.0001866,143.30626,0.0076,-0.0076,2454976.306,0.0076,-0.0076,0.016,0.442,-0.016,3.912,0.206,-0.206,,,,184.4,17.6,-17.6,8.9,5837.0,105.0,-105.0,1.366,0.21,-0.289
5992,8127607,K01919.01,,FALSE POSITIVE,0,1,1,16.60973843,9.462e-05,-9.462e-05,147.6085,0.0047,-0.0047,2454980.609,0.0047,-0.0047,1.0412,0.0121,-0.0896,4.515,0.267,-0.267,,,,667.8,36.3,-36.3,29.7,5238.0,169.0,-138.0,0.752,0.176,-0.055
5993,8129042,K01743.01,,FALSE POSITIVE,0,0,0,54.323118,0.00175,-0.00175,153.7774,0.0271,-0.0271,2454986.777,0.0271,-0.0271,0.9727,0.0059,-0.0075,25.863,0.929,-0.929,,,,538.0,36.7,-36.7,19.2,6988.0,217.0,-316.0,1.67,1.074,-0.341
5994,8180020,K01741.01,,FALSE POSITIVE,0,1,0,5.803127153,1.561e-06,-1.561e-06,136.101253,0.000239,-0.000239,2454969.101,0.000239,-0.000239,0.006,0.144,-0.006,4.9041,0.0114,-0.0114,,,,58570.0,107.0,-107.0,639.3,5533.0,182.0,-182.0,0.795,0.188,-0.063
5995,8223328,K01767.01,,FALSE POSITIVE,0,1,0,35.51619219,3.463e-05,-3.463e-05,165.930432,0.00077,-0.00077,2454998.93,0.00077,-0.00077,8.467,2.436,-1.627,2.5,0.0378,-0.0378,,,,10984.0,153.0,-153.0,85.4,5514.0,74.0,-83.0,0.871,0.098,-0.053
5996,8444552,K01769.01,,FALSE POSITIVE,0,1,0,0.589049151,3.3e-08,-3.3e-08,132.1792702,4.59e-05,-4.59e-05,2454965.179,4.59e-05,-4.59e-05,1.094,0.027,-0.027,2.25397,0.00275,-0.00275,,,,61953.0,62.1,-62.1,1227.6,5592.0,166.0,-150.0,0.771,0.119,-0.097
5997,6342333,K02065.01,Kepler-1789 b,CONFIRMED,0,0,0,80.2321467,0.0003914,-0.0003914,162.39301,0.00422,-0.00422,2454995.393,0.00422,-0.00422,0.911,0.024,-0.622,4.656,0.128,-0.128,,,,888.7,40.6,-40.6,24.9,5436.0,81.0,-81.0,0.888,0.104,-0.052
5999,6032517,K02070.01,,FALSE POSITIVE,0,0,1,1.791406261,2.71e-06,-2.71e-06,132.99503,0.00125,-0.00125,2454965.995,0.00125,-0.00125,1.008,0.682,-0.032,2.8159,0.0665,-0.0665,,,,345.5,7.2,-7.2,60.7,6092.0,165.0,-202.0,1.028,0.341,-0.114
